,gene_type,gene_name,gencode_transcript,ensembl_transcript,ensembl_gene,gencode_gene,splice_type,biomark_neural_panel,confident_rbp,rbp,ribosomal,ribosomal_subunit,synapse,transcription_factor,one_ensembl_id
chr22:19951089:19951282:+@chr22:19951633|19951691:19951822:+,protein_coding,COMT,"ENST00000412786.1,ENST00000406520.3,ENST00000493893.1,ENST00000403184.1,ENST00000407537.1,ENST00000361682.6,ENST00000403710.1,ENST00000207636.5,ENST00000449653.1","ENST00000407537,ENST00000449653,ENST00000493893,ENST00000406520,ENST00000403184,ENST00000207636,ENST00000412786,ENST00000361682,ENST00000403710",ENSG00000093010,ENSG00000093010.7,A3SS,False,False,False,False,False,False,False,ENSG00000093010
chr22:19959409:19959494:-@chr22:19958739:19958858:-@chr22:19957402:19958266:-,protein_coding,ARVCF,"ENST00000344269.3,ENST00000406522.1,ENST00000406259.1,ENST00000495096.1,ENST00000401994.1,ENST00000263207.3","ENST00000406522,ENST00000406259,ENST00000495096,ENST00000263207,ENST00000344269,ENST00000401994",ENSG00000099889,ENSG00000099889.9,SE,False,False,False,False,False,False,False,ENSG00000099889
chr22:20004554:20004715:+@chr22:20006704:20006822:+@chr22:20024283:20024377:+,protein_coding,TANGO2,"ENST00000327374.4,ENST00000479679.1,ENST00000398042.2,ENST00000471707.1,ENST00000434168.1,ENST00000450664.1,ENST00000450019.1,ENST00000430807.1,ENST00000432883.1,ENST00000484373.1,ENST00000432198.1,ENST00000447208.2,ENST00000485715.2,ENST00000411907.1,ENST00000401886.1,ENST00000475446.1","ENST00000401886,ENST00000471707,ENST00000450019,ENST00000432883,ENST00000327374,ENST00000432198,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000475446,ENST00000430807,ENST00000398042,ENST00000485715,ENST00000484373,ENST00000411907,ENST00000479679",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20024283:20024377|20024617:+@chr22:20030878:20030966:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000475446.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000432198,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000475446,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,A5SS,False,False,False,False,False,False,False,ENSG00000183597
chr22:20030878:20030966:+@chr22:20035493:20035851:+@chr22:20039988:20040107:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000475446.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000475446,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040883:20041074:+@chr22:20043466:20043536:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040883:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040883:20041074:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040883|20040960:20041074:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,A3SS,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040960:20041074:+@chr22:20043466:20043536:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040960:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20040960:20041074:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20049053:20049204:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20049053:20049229:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20043466:20043536:+@chr22:20050861:20050965:+@chr22:20052065:20053447:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000490121.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000490121,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20049053:20049204:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20049053:20049206:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20039988:20040107:+@chr22:20049053:20049229:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000434570.2,ENST00000450019.1,ENST00000484373.1,ENST00000327374.4,ENST00000471707.1,ENST00000399807.3,ENST00000430807.1,ENST00000485715.2,ENST00000444651.1,ENST00000490583.1,ENST00000479679.1,ENST00000462579.1,ENST00000401886.1,ENST00000432883.1,ENST00000398042.2,ENST00000434168.1,ENST00000450664.1,ENST00000456048.1,ENST00000401833.1,ENST00000432198.1,ENST00000447208.2,ENST00000411907.1,ENST00000420290.2","ENST00000444651,ENST00000450019,ENST00000447208,ENST00000399807,ENST00000484373,ENST00000411907,ENST00000490583,ENST00000401886,ENST00000432883,ENST00000485715,ENST00000434168,ENST00000432198,ENST00000420290,ENST00000434570,ENST00000450664,ENST00000479679,ENST00000327374,ENST00000456048,ENST00000471707,ENST00000430807,ENST00000398042,ENST00000401833,ENST00000462579",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20040960:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049204:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000462579.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000485715.2,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20040960:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000462579.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000485715.2,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20040960:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049206:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000462579.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000485715.2,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20040960:20041074:+@chr22:20043466:20043536:+@chr22:20049053:20049229:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000462579.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000485715.2,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,MXE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20043466:20043536:+@chr22:20049053:20049204:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000485715.2,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000462579.1,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000485715,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20043466:20043536:+@chr22:20049053:20049206:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000462579.1,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
chr22:20043466:20043536:+@chr22:20049053:20049229:+@chr22:20050861:20050965:+,protein_coding,TANGO2,"ENST00000432883.1,ENST00000398042.2,ENST00000434570.2,ENST00000434168.1,ENST00000450664.1,ENST00000399807.3,ENST00000490583.1,ENST00000450019.1,ENST00000430807.1,ENST00000444651.1,ENST00000456048.1,ENST00000401833.1,ENST00000401886.1,ENST00000490121.1,ENST00000447208.2,ENST00000462579.1,ENST00000411907.1,ENST00000327374.4,ENST00000420290.2","ENST00000490583,ENST00000401886,ENST00000327374,ENST00000450019,ENST00000432883,ENST00000456048,ENST00000434168,ENST00000447208,ENST00000450664,ENST00000399807,ENST00000490121,ENST00000430807,ENST00000420290,ENST00000444651,ENST00000398042,ENST00000401833,ENST00000434570,ENST00000462579,ENST00000411907",ENSG00000183597,ENSG00000183597.11,SE,False,False,False,False,False,False,False,ENSG00000183597
